,root1_en,root1_id,root2_en,root2_id,root3_en,root3_id
79,Seoul,2297418,Yeongdeungpo-gu,2414781,Mullae-dong,3879663
80,Seoul,2297418,Yeongdeungpo-gu,2414781,Yeongdeungpo-dong,3879673
81,Seoul,2297418,Yeongdeungpo-gu,2414781,Yeoui-dong,3879672
82,Seoul,2297418,Yeongdeungpo-gu,2414781,Yangpyeong 1(il)-dong,3879670
83,Seoul,2297418,Yeongdeungpo-gu,2414781,Yangpyeong 2(i)-dong,3879671
84,Seoul,2297418,Yeongdeungpo-gu,2414781,Dangsan 1(il)-dong,3879657
85,Seoul,2297418,Yeongdeungpo-gu,2414781,Dangsan 2(i)-dong,3879658
86,Seoul,2297418,Guro-gu,2414777,Sugung-dong,3880479
87,Seoul,2297418,Guro-gu,2414777,Oryu 1(il)-dong,3880476
88,Seoul,2297418,Guro-gu,2414777,Oryu 2(i)-dong,3880477
89,Seoul,2297418,Guro-gu,2414777,Gaebong 1(il)-dong,3880464
90,Seoul,2297418,Guro-gu,2414777,Gaebong 2(i)-dong,3880465
91,Seoul,2297418,Guro-gu,2414777,Gaebong 3(sam)-dong,3880466
92,Seoul,2297418,Guro-gu,2414777,Gocheok 1(il)-dong,3880468
93,Seoul,2297418,Guro-gu,2414777,Gocheok 2(i)-dong,3880469
94,Seoul,2297418,Guro-gu,2414777,Sindorim-dong,3880480
95,Seoul,2297418,Guro-gu,2414777,Guro 1(il)-dong,3880470
96,Seoul,2297418,Guro-gu,2414777,Guro 2(i)-dong,3880471
97,Seoul,2297418,Guro-gu,2414777,Guro 3(sam)-dong,3880473
98,Seoul,2297418,Guro-gu,2414777,Guro 4(sa)-dong,3880474
99,Seoul,2297418,Guro-gu,2414777,Guro 5(o)-dong,3880475
100,Seoul,2297418,Guro-gu,2414777,Garibong dong,3880463
101,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 7(chil)-dong,3880500
102,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 6(yuk)-dong,3880499
103,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 5(o)-dong,3880498
104,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 4(sa)-dong,3880497
105,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 3(sam)-dong,3880496
106,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 2(i)-dong,3880508
107,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 1(il)-dong,3880494
108,Seoul,2297418,Yangcheon-gu,2414780,Mok 1(il)-dong,3880488
109,Seoul,2297418,Yangcheon-gu,2414780,Mok 2(i)-dong,3880489
110,Seoul,2297418,Yangcheon-gu,2414780,Mok 3(sam)-dong,3880490
111,Seoul,2297418,Yangcheon-gu,2414780,Mok 4(sa)-dong,3880491
112,Seoul,2297418,Yangcheon-gu,2414780,Mok 5(o)-dong,3880492
113,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 7(chil)-dong,3880507
114,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 6(yuk)-dong,3880506
115,Seoul,2297418,Yangcheon-gu,2414780,Sinjeong 3(sam)-dong,3880504
