,시도,중분류,시군구,소분류,읍면동,영문 표기,지명 갯수
3011,전라남도,36630.0,함평군,36630320.0,신광면,Singwang-myeon in Hampyeong-gun,3
27,서울특별시,11020.0,중구,11020690.0,신당동,Sindang-dong in Jung-gu in Seoul,4
804,대구광역시,22070.0,달서구,22070610.0,신당동,Sindang-dong in Dalseo-gu,3
1923,강원도,32020.0,원주시,32020380.0,신림면,Sillim-myeon in Wonju-si,2
2741,전라북도,35570.0,고창군,35570420.0,신림면,Sillim-myeon in Gochang-gun,2
1832,경기도,31270.0,포천시,31270340.0,신북면,Sinbuk-myeon in Pocheon-si,3
2991,전라남도,36610.0,영암군,36610330.0,신북면,Sinbuk-myeon in Yeongam-gun,3
382,서울특별시,11230.0,강남구,11230510.0,신사동,Sinsa-dong in Gangnam-gu,3
354,서울특별시,11210.0,관악구,11210680.0,신사동,Sinsa-dong in Gwanak-gu,3
2289,충청남도,34011.0,동남구,34011590.0,신안동,Sinan-dong in Dongnam-gu,3
1053,광주광역시,24040.0,북구,24040560.0,신안동,Sinan-dong in Buk-gu in Gwangju,4
3524,경상남도,38030.0,진주시,38030680.0,신안동,Sinan-dong in Jinju-si,4
1653,경기도,31180.0,하남시,31180520.0,신장1동,Sinjang 1(il)-dong in Hanam-si,3
1475,경기도,31070.0,평택시,31070570.0,신장1동,Sinjang 1(il)-dong in Pyeongtaek-si,3
1476,경기도,31070.0,평택시,31070580.0,신장2동,Sinjang 2(i)-dong in Pyeongtaek-si,3
1654,경기도,31180.0,하남시,31180530.0,신장2동,Sinjang 2(i)-dong in Hanam-si,3
1204,울산광역시,26020.0,남구,26020510.0,신정1동,Sinjeong 1(il)-dong in Nam-gu in Ulsan,4
250,서울특별시,11150.0,양천구,11150640.0,신정1동,Sinjeong 1(il)-dong in Yangcheon-gu,3
1205,울산광역시,26020.0,남구,26020520.0,신정2동,Sinjeong 2(i)-dong in Nam-gu in Ulsan,4
251,서울특별시,11150.0,양천구,11150650.0,신정2동,Sinjeong 2(i)-dong in Yangcheon-gu,3
252,서울특별시,11150.0,양천구,11150660.0,신정3동,Sinjeong 3(sam)-dong in Yangcheon-gu,3
1206,울산광역시,26020.0,남구,26020530.0,신정3동,Sinjeong 3(sam)-dong in Nam-gu in Ulsan,4
253,서울특별시,11150.0,양천구,11150720.0,신정4동,Sinjeong 4(sa)-dong in Yangcheon-gu,3
1207,울산광역시,26020.0,남구,26020540.0,신정4동,Sinjeong 4(sa)-dong in Nam-gu in Ulsan,4
1427,경기도,31042.0,동안구,31042660.0,신촌동,Sinchon-dong in Dongan-gu,3
209,서울특별시,11130.0,서대문구,11130750.0,신촌동,Sinchon-dong in Seodaemun-gu,3
1342,경기도,31021.0,수정구,31021640.0,신촌동,Sinchon-dong in Sujeong-gu,3
597,부산광역시,21100.0,사하구,21100580.0,신평1동,Sinpyeong 1(il)-dong in Saha-gu,3
3200,경상북도,37050.0,구미시,37050610.0,신평1동,Sinpyeong 1(il)-dong in Gumi-si,3
3201,경상북도,37050.0,구미시,37050620.0,신평2동,Sinpyeong 2(i)-dong in Gumi-si,3
598,부산광역시,21100.0,사하구,21100590.0,신평2동,Sinpyeong 2(i)-dong in Saha-gu,3
2707,전라북도,35550.0,임실군,35550330.0,신평면,Sinpyeong-myeon in Imsil-gun,3
2404,충청남도,34080.0,당진시,34080380.0,신평면,Sinpyeong-myeon in Dangjin-si,4
3328,경상북도,37520.0,의성군,37520450.0,신평면,Sinpyeong-myeon in Uiseong-gun,3
2550,전라북도,35020.0,군산시,35020550.0,신풍동,Sinpung-dong in Gunsan-si,3
2659,전라북도,35060.0,김제시,35060520.0,신풍동,Sinpung-dong in Gimje-si,3
3271,경상북도,37080.0,상주시,37080570.0,신흥동,Sinheung-dong in Sangju-si,3
832,인천광역시,23010.0,중구,23010540.0,신흥동,Sinheung-dong in Jung-gu in Incheon,4
2778,전라남도,36010.0,목포시,36010730.0,신흥동,Sinheung-dong in Mokpo-si,3
1080,광주광역시,24050.0,광산구,24050550.0,신흥동,Sinheung-dong in Gwangsan-gu,3
971,인천광역시,23080.0,서구,23080880.0,아라동,Ara-dong in Seo-gu in Incheon,3
3787,제주특별자치도,39010.0,제주시,39010630.0,아라동,Ara-dong in Jeju-si,2
3337,경상북도,37530.0,청송군,37530350.0,안덕면,Andeok-myeon in Cheongsong-gun,2
3798,제주특별자치도,39020.0,서귀포시,39020310.0,안덕면,Andeok-myeon in Seogwipo-si,2
1235,울산광역시,26040.0,북구,26040580.0,양정동,Yangjeong-dong in Buk-gu in Ulsan,3
1600,경기도,31130.0,남양주시,31130540.0,양정동,Yangjeong-dong in Namyangju-si,2
308,서울특별시,11190.0,영등포구,11190540.0,여의동,Yeoui-dong in Yeongdeungpo-gu,2
