,root1_en,root1_id,root2_en,root2_id,root3_en,root3_id,nested_name
44,Seoul,2297418,Geumcheon-gu,2414776,Doksan 3(sam)-dong,3879576,"Doksan 3(sam)-dong , Geumcheon-gu , Seoul , Korea"
45,Seoul,2297418,Geumcheon-gu,2414776,Doksan 4(sa)-dong,3879577,"Doksan 4(sa)-dong , Geumcheon-gu , Seoul , Korea"
46,Seoul,2297418,Geumcheon-gu,2414776,Gasan-dong,3879573,"Gasan-dong , Geumcheon-gu , Seoul , Korea"
47,Seoul,2297418,Gwanak-gu,2414778,Nakseongdae-dong,3878896,"Nakseongdae-dong , Gwanak-gu , Seoul , Korea"
48,Seoul,2297418,Gwanak-gu,2414778,Nangok-dong,3878789,"Nangok-dong , Gwanak-gu , Seoul , Korea"
49,Seoul,2297418,Gwanak-gu,2414778,Nanhyang-dong,3878843,"Nanhyang-dong , Gwanak-gu , Seoul , Korea"
50,Seoul,2297418,Gwanak-gu,2414778,Daehak-dong,3878844,"Daehak-dong , Gwanak-gu , Seoul , Korea"
51,Seoul,2297418,Gwanak-gu,2414778,Miseong-dong,3878790,"Miseong-dong , Gwanak-gu , Seoul , Korea"
52,Seoul,2297418,Gwanak-gu,2414778,Boramae-dong,3878901,"Boramae-dong , Gwanak-gu , Seoul , Korea"
53,Seoul,2297418,Gwanak-gu,2414778,Samseong-dong,3878845,"Samseong-dong , Gwanak-gu , Seoul , Korea"
54,Seoul,2297418,Gwanak-gu,2414778,Seorim-dong,3878846,"Seorim-dong , Gwanak-gu , Seoul , Korea"
55,Seoul,2297418,Gwanak-gu,2414778,Seowon-dong,2424062,"Seowon-dong , Gwanak-gu , Seoul , Korea"
56,Seoul,2297418,Gwanak-gu,2414778,Seonghyeon-dong,3878883,"Seonghyeon-dong , Gwanak-gu , Seoul , Korea"
57,Seoul,2297418,Gwanak-gu,2414778,Sillim-dong,3878791,"Sillim-dong , Gwanak-gu , Seoul , Korea"
58,Seoul,2297418,Gwanak-gu,2414778,Sinsa-dong,3775530,"Sinsa-dong , Gwanak-gu , Seoul , Korea"
59,Seoul,2297418,Gwanak-gu,2414778,Sinwon-dong,3878792,"Sinwon-dong , Gwanak-gu , Seoul , Korea"
60,Seoul,2297418,Gwanak-gu,2414778,Euncheon-dong,2424060,"Euncheon-dong , Gwanak-gu , Seoul , Korea"
61,Seoul,2297418,Gwanak-gu,2414778,Inheon-dong,3878898,"Inheon-dong , Gwanak-gu , Seoul , Korea"
62,Seoul,2297418,Gwanak-gu,2414778,Jowon-dong,3775531,"Jowon-dong , Gwanak-gu , Seoul , Korea"
63,Seoul,2297418,Gwanak-gu,2414778,Jungang-dong,3878890,"Jungang-dong , Gwanak-gu , Seoul , Korea"
64,Seoul,2297418,Gwanak-gu,2414778,Cheongnyong-dong,2424059,"Cheongnyong-dong , Gwanak-gu , Seoul , Korea"
