시도,중분류,시군구,소분류,읍면동,영문 표기
서울특별시,11080,성북구,11080720,월곡2동,Wolgok 2(i)-dong
서울특별시,11080,성북구,11080760,장위1동,Jangwi 1(il)-dong
서울특별시,11080,성북구,11080770,장위2동,Jangwi 2(i)-dong
서울특별시,11080,성북구,11080780,장위3동,Jangwi 3(sam)-dong
서울특별시,11080,성북구,11080850,석관동,Seokgwan-dong
서울특별시,11090,강북구,,,Gangbuk-gu
서울특별시,11090,강북구,11090690,삼양동,Samyang-dong
서울특별시,11090,강북구,11090700,미아동,Mia-dong
서울특별시,11090,강북구,11090710,송중동,Songjung-dong
서울특별시,11090,강북구,11090720,송천동,Songcheon-dong
서울특별시,11090,강북구,11090730,삼각산동,Samgaksan-dong
서울특별시,11090,강북구,11090600,번1동,Beon 1(il)-dong
서울특별시,11090,강북구,11090610,번2동,Beon 2(i)-dong
서울특별시,11090,강북구,11090620,번3동,Beon 3(sam)-dong
서울특별시,11090,강북구,11090630,수유1동,Suyu 1(il)-dong
서울특별시,11090,강북구,11090640,수유2동,Suyu 2(i)-dong
서울특별시,11090,강북구,11090650,수유3동,Suyu 3(sam)-dong
서울특별시,11090,강북구,11090740,우이동,Ui-dong
서울특별시,11090,강북구,11090750,인수동,Insu-dong
서울특별시,11100,도봉구,,,Dobong-gu
서울특별시,11100,도봉구,11100590,창1동,Chang 1(il)-dong
서울특별시,11100,도봉구,11100600,창2동,Chang 2(i)-dong
서울특별시,11100,도봉구,11100610,창3동,Chang 3(sam)-dong
서울특별시,11100,도봉구,11100620,창4동,Chang 4(sa)-dong
서울특별시,11100,도봉구,11100630,창5동,Chang 5(o)-dong
서울특별시,11100,도봉구,11100640,도봉1동,Dobong 1(il)-dong
서울특별시,11100,도봉구,11100650,도봉2동,Dobong 2(i)-dong
서울특별시,11100,도봉구,11100510,쌍문1동,Ssangmun 1(il)-dong
서울특별시,11100,도봉구,11100520,쌍문2동,Ssangmun 2(i)-dong
서울특별시,11100,도봉구,11100530,쌍문3동,Ssangmun 3(sam)-dong
서울특별시,11100,도봉구,11100540,쌍문4동,Ssangmun 4(sa)-dong
서울특별시,11100,도봉구,11100550,방학1동,Banghak 1(il)-dong
서울특별시,11100,도봉구,11100560,방학2동,Banghak 2(i)-dong
서울특별시,11100,도봉구,11100570,방학3동,Banghak 3(sam)-dong
서울특별시,11110,노원구,,,Nowon-gu
서울특별시,11110,노원구,11110510,월계1동,Wolgye 1(il)-dong
서울특별시,11110,노원구,11110520,월계2동,Wolgye 2(i)-dong
서울특별시,11110,노원구,11110530,월계3동,Wolgye 3(sam)-dong
서울특별시,11110,노원구,11110790,공릉1동,Gongneung 1(il)-dong
서울특별시,11110,노원구,11110560,공릉2동,Gongneung 2(i)-dong
서울특별시,11110,노원구,11110580,하계1동,Hagye 1(il)-dong
서울특별시,11110,노원구,11110590,하계2동,Hagye 2(i)-dong
서울특별시,11110,노원구,11110600,중계본동,Junggyebon-dong
서울특별시,11110,노원구,11110610,중계1동,Junggye 1(il)-dong
서울특별시,11110,노원구,11110640,중계4동,Junggye 4(sa)-dong
서울특별시,11110,노원구,11110780,중계2.3동,Junggye 2.3(isam)-dong
서울특별시,11110,노원구,11110650,상계1동,Sanggye 1(il)-dong
서울특별시,11110,노원구,11110660,상계2동,Sanggye 2(i)-dong
서울특별시,11110,노원구,11110760,상계3.4동,Sanggye 3.4(samsa)-dong
서울특별시,11110,노원구,11110690,상계5동,Sanggye 5(o)-dong
서울특별시,11110,노원구,11110770,상계6.7동,Sanggye 6.7(yukchil)-dong
서울특별시,11110,노원구,11110720,상계8동,Sanggye 8(pal)-dong
서울특별시,11110,노원구,11110730,상계9동,Sanggye 9(gu)-dong
서울특별시,11110,노원구,11110740,상계10동,Sanggye 10(sip)-dong
서울특별시,11120,은평구,,,Eunpyeong-gu
서울특별시,11120,은평구,11120510,녹번동,Nokbeon-dong
서울특별시,11120,은평구,11120520,불광1동,Bulgwang 1(il)-dong
서울특별시,11120,은평구,11120720,불광2동,Bulgwang 2(i)-dong
서울특별시,11120,은평구,11120550,갈현1동,Galhyeon 1(il)-dong
서울특별시,11120,은평구,11120560,갈현2동,Galhyeon 2(i)-dong
서울특별시,11120,은평구,11120570,구산동,Gusan-dong
서울특별시,11120,은평구,11120580,대조동,Daejo-dong
서울특별시,11120,은평구,11120590,응암1동,Eungam 1(il)-dong
서울특별시,11120,은평구,11120600,응암2동,Eungam 2(i)-dong
서울특별시,11120,은평구,11120730,응암3동,Eungam 3(sam)-dong
서울특별시,11120,은평구,11120740,역촌동,Yeokchon-dong
서울특별시,11120,은평구,11120650,신사1동,Sinsa 1(il)-dong
서울특별시,11120,은평구,11120660,신사2동,Sinsa 2(i)-dong
서울특별시,11120,은평구,11120670,증산동,Jeungsan-dong
서울특별시,11120,은평구,11120680,수색동,Susaek-dong
서울특별시,11120,은평구,11120710,진관동,Jingwan-dong
서울특별시,11130,서대문구,,,Seodaemun-gu
서울특별시,11130,서대문구,11130520,천연동,Cheonyeon-dong
서울특별시,11130,서대문구,11130740,북아현동,Bugahyeon-dong
서울특별시,11130,서대문구,11130730,충현동,Chunghyeon-dong
서울특별시,11130,서대문구,11130750,신촌동,Sinchon-dong
서울특별시,11130,서대문구,11130760,연희동,Yeonhui-dong
서울특별시,11130,서대문구,11130620,홍제1동,Hongje 1(il)-dong
서울특별시,11130,서대문구,11130640,홍제3동,Hongje 3(sam)-dong
서울특별시,11130,서대문구,11130650,홍제2동,Hongje 2(i)-dong
서울특별시,11130,서대문구,11130660,홍은1동,Hongeun 1(il)-dong
서울특별시,11130,서대문구,11130680,홍은2동,Hongeun 2(i)-dong
서울특별시,11130,서대문구,11130690,남가좌1동,Namgajwa 1(il)-dong
서울특별시,11130,서대문구,11130700,남가좌2동,Namgajwa 2(i)-dong
서울특별시,11130,서대문구,11130710,북가좌1동,Bukgajwa 1(il)-dong
서울특별시,11130,서대문구,11130720,북가좌2동,Bukgajwa 2(i)-dong
서울특별시,11140,마포구,,,Mapo-gu
서울특별시,11140,마포구,11140780,아현동,Ahyeon-dong
서울특별시,11140,마포구,11140770,공덕동,gongdeok-dong
서울특별시,11140,마포구,11140750,도화동,Dohwa-dong
서울특별시,11140,마포구,11140590,용강동,Yonggang-dong
서울특별시,11140,마포구,11140600,대흥동,Daeheung-dong
서울특별시,11140,마포구,11140610,염리동,Yeomni-dong
서울특별시,11140,마포구,11140630,신수동,Sinsu-dong
서울특별시,11140,마포구,11140760,서강동,Seogang-dong
서울특별시,11140,마포구,11140660,서교동,Seogyo-dong
서울특별시,11140,마포구,11140680,합정동,Hapjeong-dong
서울특별시,11140,마포구,11140690,망원1동,Mangwon 1(il)-dong
서울특별시,11140,마포구,11140700,망원2동,Mangwon 2(i)-dong
서울특별시,11140,마포구,11140710,연남동,Yeonnam-dong
서울특별시,11140,마포구,11140720,성산1동,Seongsan 1(il)-dong
서울특별시,11140,마포구,11140730,성산2동,Seongsan 2(i)-dong
서울특별시,11140,마포구,11140740,상암동,Sangam-dong
서울특별시,11150,양천구,,,Yangcheon-gu
서울특별시,11150,양천구,11150510,목1동,Mok 1(il)-dong
서울특별시,11150,양천구,11150520,목2동,Mok 2(i)-dong
서울특별시,11150,양천구,11150530,목3동,Mok 3(sam)-dong
서울특별시,11150,양천구,11150540,목4동,Mok 4(sa)-dong
서울특별시,11150,양천구,11150710,목5동,Mok 5(o)-dong
서울특별시,11150,양천구,11150570,신월1동,Sinwol 1(il)-dong
서울특별시,11150,양천구,11150580,신월2동,Sinwol 2(i)-dong
서울특별시,11150,양천구,11150590,신월3동,Sinwol 3(sam)-dong
서울특별시,11150,양천구,11150600,신월4동,Sinwol 4(sa)-dong
서울특별시,11150,양천구,11150610,신월5동,Sinwol 5(o)-dong
서울특별시,11150,양천구,11150620,신월6동,Sinwol 6(yuk)-dong
서울특별시,11150,양천구,11150630,신월7동,Sinwol 7(chil)-dong
서울특별시,11150,양천구,11150640,신정1동,Sinjeong 1(il)-dong
서울특별시,11150,양천구,11150650,신정2동,Sinjeong 2(i)-dong
서울특별시,11150,양천구,11150660,신정3동,Sinjeong 3(sam)-dong
서울특별시,11150,양천구,11150720,신정4동,Sinjeong 4(sa)-dong
서울특별시,11150,양천구,11150690,신정6동,Sinjeong 6(yuk)-dong
서울특별시,11150,양천구,11150700,신정7동,Sinjeong 7(chil)-dong
서울특별시,11160,강서구,,,Gangseo-gu
서울특별시,11160,강서구,11160510,염창동,Yeomchang-dong
서울특별시,11160,강서구,11160520,등촌1동,Deungchon 1(il)-dong
서울특별시,11160,강서구,11160530,등촌2동,Deungchon 2(i)-dong
서울특별시,11160,강서구,11160540,등촌3동,Deungchon 3(sam)-dong
서울특별시,11160,강서구,11160730,화곡1동,Hwagok 1(il)-dong
서울특별시,11160,강서구,11160570,화곡2동,Hwagok 2(i)-dong
서울특별시,11160,강서구,11160580,화곡3동,Hwagok 3(sam)-dong
서울특별시,11160,강서구,11160590,화곡4동,Hwagok 4(sa)-dong
서울특별시,11160,강서구,11160550,화곡본동,Hwagokbon-dong
서울특별시,11160,강서구,11160610,화곡6동,Hwagok 6(yuk)-dong
서울특별시,11160,강서구,11160630,화곡8동,Hwagok 8(pal)-dong
서울특별시,11160,강서구,11160640,가양1동,Gayang 1(il)-dong
서울특별시,11160,강서구,11160650,가양2동,Gayang 2(i)-dong
서울특별시,11160,강서구,11160660,가양3동,Gayang 3(sam)-dong
서울특별시,11160,강서구,11160670,발산1동,Balsan 1(il)-dong
서울특별시,11160,강서구,11160740,우장산동,Ujangsan-dong
서울특별시,11160,강서구,11160690,공항동,Gonghang-dong
서울특별시,11160,강서구,11160700,방화1동,Banghwa 1(il)-dong
서울특별시,11160,강서구,11160710,방화2동,Banghwa 2(i)-dong
서울특별시,11160,강서구,11160720,방화3동,Banghwa 3(sam)-dong
서울특별시,11170,구로구,,,Guro-gu
서울특별시,11170,구로구,11170510,신도림동,Sindorim-dong
서울특별시,11170,구로구,11170520,구로1동,Guro 1(il)-dong
서울특별시,11170,구로구,11170710,구로2동,Guro 2(i)-dong
서울특별시,11170,구로구,11170540,구로3동,Guro 3(sam)-dong
서울특별시,11170,구로구,11170550,구로4동,Guro 4(sa)-dong
서울특별시,11170,구로구,11170560,구로5동,Guro 5(o)-dong
서울특별시,11170,구로구,11170700,가리봉동,Garibong-dong
서울특별시,11170,구로구,11170610,고척1동,Gocheok 1(il)-dong
서울특별시,11170,구로구,11170620,고척2동,Gocheok 2(i)-dong
서울특별시,11170,구로구,11170720,개봉1동,Gaebong 1(il)-dong
서울특별시,11170,구로구,11170640,개봉2동,Gaebong 2(i)-dong
서울특별시,11170,구로구,11170650,개봉3동,Gaebong 3(sam)-dong
서울특별시,11170,구로구,11170670,오류1동,Oryu 1(il)-dong
서울특별시,11170,구로구,11170730,오류2동,Oryu 2(i)-dong
서울특별시,11170,구로구,11170690,수궁동,Sugung-dong
서울특별시,11170,구로구,11170740,항동,Hang-dong
서울특별시,11180,금천구,,,Geumcheon-gu
서울특별시,11180,금천구,11180510,가산동,Gasan-dong
서울특별시,11180,금천구,11180520,독산1동,Doksan 1(il)-dong
서울특별시,11180,금천구,11180530,독산2동,Doksan 2(i)-dong
서울특별시,11180,금천구,11180540,독산3동,Doksan 3(sam)-dong
서울특별시,11180,금천구,11180550,독산4동,Doksan 4(sa)-dong
서울특별시,11180,금천구,11180570,시흥1동,Siheung 1(il)-dong
서울특별시,11180,금천구,11180580,시흥2동,Siheung 2(i)-dong
서울특별시,11180,금천구,11180590,시흥3동,Siheung 3(sam)-dong
서울특별시,11180,금천구,11180600,시흥4동,Siheung 4(sa)-dong
서울특별시,11180,금천구,11180610,시흥5동,Siheung 5(o)-dong
서울특별시,11190,영등포구,,,Yeongdeungpo-gu
서울특별시,11190,영등포구,11190730,영등포본동,Yeongdeungpobon-dong
서울특별시,11190,영등포구,11190740,영등포동,Yeongdeungpo-dong
서울특별시,11190,영등포구,11190540,여의동,Yeoui-dong
서울특별시,11190,영등포구,11190550,당산1동,Dangsan 1(il)-dong
서울특별시,11190,영등포구,11190560,당산2동,Dangsan  2(i)-dong
서울특별시,11190,영등포구,11190750,도림동,Dorim-dong
서울특별시,11190,영등포구,11190760,문래동,Mullae-dong
서울특별시,11190,영등포구,11190610,양평1동,Yangpyeong 1(il)-dong
서울특별시,11190,영등포구,11190620,양평2동,Yangpyeong 2(i)-dong
서울특별시,11190,영등포구,11190630,신길1동,Singil 1(il)-dong
서울특별시,11190,영등포구,11190650,신길3동,Singil 3(sam)-dong
서울특별시,11190,영등포구,11190660,신길4동,Singil 4(sa)-dong
서울특별시,11190,영등포구,11190670,신길5동,Singil 5(o)-dong
서울특별시,11190,영등포구,11190680,신길6동,Singil 6(yuk)-dong
서울특별시,11190,영등포구,11190690,신길7동,Singil 7(chil)-dong
서울특별시,11190,영등포구,11190700,대림1동,Daerim 1(il)-dong
서울특별시,11190,영등포구,11190710,대림2동,Daerim 2(i)-dong
서울특별시,11190,영등포구,11190720,대림3동,Daerim 3(sam)-dong
서울특별시,11200,동작구,,,Dongjak-gu
서울특별시,11200,동작구,11200720,노량진1동,Noryangjin 1(il)-dong
서울특별시,11200,동작구,11200520,노량진2동,Noryangjin 2(i)-dong
서울특별시,11200,동작구,11200530,상도1동,Sangdo 1(il)-dong
서울특별시,11200,동작구,11200540,상도2동,Sangdo 2(i)-dong
서울특별시,11200,동작구,11200550,상도3동,Sangdo 3(sam)-dong
서울특별시,11200,동작구,11200560,상도4동,Sangdo 4(sa)-dong
서울특별시,11200,동작구,11200710,흑석동,Heukseok-dong
서울특별시,11200,동작구,11200630,사당1동,Sadang 1(il)-dong
서울특별시,11200,동작구,11200730,사당2동,Sadang 2(i)-dong
서울특별시,11200,동작구,11200650,사당3동,Sadang 3(sam)-dong
서울특별시,11200,동작구,11200660,사당4동,Sadang 4(sa)-dong
서울특별시,11200,동작구,11200670,사당5동,Sadang 5(o)-dong
서울특별시,11200,동작구,11200680,대방동,Daebang-dong
서울특별시,11200,동작구,11200690,신대방1동,Sindaebang 1(il)-dong
서울특별시,11200,동작구,11200700,신대방2동,Sindaebang 2(i)-dong
서울특별시,11210,관악구,,,Gwanak-gu
서울특별시,11210,관악구,11210520,보라매동,Boramae-dong
서울특별시,11210,관악구,11210540,청림동,Cheongnim-dong
서울특별시,11210,관악구,11210790,성현동,Seonghyeon-dong
서울특별시,11210,관악구,11210570,행운동,Haengun-dong
서울특별시,11210,관악구,11210580,낙성대동,Nagseongdae-dong
서울특별시,11210,관악구,11210800,청룡동,Cheongnyong-dong
서울특별시,11210,관악구,11210780,은천동,Euncheon-dong
서울특별시,11210,관악구,11210610,중앙동,Jungang-dong
서울특별시,11210,관악구,11210620,인헌동,Inheon-dong
서울특별시,11210,관악구,11210630,남현동,Namhyeon-dong
서울특별시,11210,관악구,11210640,서원동,Sewon-dong
서울특별시,11210,관악구,11210650,신원동,Sinwon-dong
서울특별시,11210,관악구,11210660,서림동,Serim-dong
서울특별시,11210,관악구,11210680,신사동,Sinsa-dong
서울특별시,11210,관악구,11210690,신림동,Sillim-dong
서울특별시,11210,관악구,11210710,난향동,Nanhyang-dong
서울특별시,11210,관악구,11210720,조원동,Jowon-dong
서울특별시,11210,관악구,11210730,대학동,Daehak-dong
서울특별시,11210,관악구,11210820,삼성동,Samseong-dong
서울특별시,11210,관악구,11210830,미성동,Miseong-dong
서울특별시,11210,관악구,11210810,난곡동,Nangok-dong
서울특별시,11220,서초구,,,Seocho-gu
서울특별시,11220,서초구,11220510,서초1동,Seocho 1(il)-dong
서울특별시,11220,서초구,11220520,서초2동,Seocho 2(i)-dong
서울특별시,11220,서초구,11220530,서초3동,Seocho 3(sam)-dong
서울특별시,11220,서초구,11220540,서초4동,Seocho 4(sa)-dong
서울특별시,11220,서초구,11220550,잠원동,Jamwon-dong
서울특별시,11220,서초구,11220560,반포본동,Banpobon-dong
서울특별시,11220,서초구,11220570,반포1동,Banpo 1(il)-dong
서울특별시,11220,서초구,11220580,반포2동,Banpo 2(i)-dong
서울특별시,11220,서초구,11220590,반포3동,Banpo 3(sam)-dong
서울특별시,11220,서초구,11220600,반포4동,Banpo 4(sa)-dong
서울특별시,11220,서초구,11220610,방배본동,Bangbaebon-dong
서울특별시,11220,서초구,11220620,방배1동,Bangbae 1(il)-dong
서울특별시,11220,서초구,11220630,방배2동,Bangbae 2(i)-dong
서울특별시,11220,서초구,11220640,방배3동,Bangbae 3(sam)-dong
서울특별시,11220,서초구,11220650,방배4동,Bangbae 4(sa)-dong
서울특별시,11220,서초구,11220660,양재1동,Yangjae 1(il)-dong
서울특별시,11220,서초구,11220670,양재2동,Yangjae 2(i)-dong
서울특별시,11220,서초구,11220680,내곡동,Naegok-dong
서울특별시,11230,강남구,,,Gangnam-gu
서울특별시,11230,강남구,11230510,신사동,Sinsa-dong
서울특별시,11230,강남구,11230520,논현1동,Nonhyeon 1(il)-dong
서울특별시,11230,강남구,11230530,논현2동,Nonhyeon 2(i)-dong
서울특별시,11230,강남구,11230770,압구정동,Apgujeong-dong
서울특별시,11230,강남구,11230780,청담동,Cheongdam-dong
서울특별시,11230,강남구,11230580,삼성1동,Samseong 1(il)-dong
서울특별시,11230,강남구,11230590,삼성2동,Samseong 2(i)-dong
서울특별시,11230,강남구,11230600,대치1동,Daechi 1(il)-dong
서울특별시,11230,강남구,11230790,대치2동,Daechi 2(i)-dong
서울특별시,11230,강남구,11230630,대치4동,Daechi 4(sa)-dong
서울특별시,11230,강남구,11230640,역삼1동,Yeoksam 1(il)-dong
서울특별시,11230,강남구,11230650,역삼2동,Yeoksam 2(i)-dong
서울특별시,11230,강남구,11230660,도곡1동,Dogok 1(il)-dong
서울특별시,11230,강남구,11230670,도곡2동,Dogok 2(i)-dong
서울특별시,11230,강남구,11230680,개포1동,Gaepo 1(il)-dong
서울특별시,11230,강남구,11230800,개포2동,Gaepo 2(i)-dong
서울특별시,11230,강남구,11230710,개포4동,Gaepo 4(sa)-dong
서울특별시,11230,강남구,11230760,세곡동,Segok-dong
서울특별시,11230,강남구,11230720,일원본동,Irwonbon-dong
서울특별시,11230,강남구,11230730,일원1동,Irwon 1(il)-dong
서울특별시,11230,강남구,11230740,일원2동,Irwon 2(i)-dong
서울특별시,11230,강남구,11230750,수서동,Suseo-dong
서울특별시,11240,송파구,,,Songpa-gu
서울특별시,11240,송파구,11240510,풍납1동,Pungnap 1(il)-dong
서울특별시,11240,송파구,11240520,풍납2동,Pungnap 2(i)-dong
서울특별시,11240,송파구,11240530,거여1동,Geoyeo 1(il)-dong
서울특별시,11240,송파구,11240540,거여2동,Geoyeo 2(i)-dong
